combo_id,rr_ratio,sl_atr_multiplier,wick_threshold,atr_period,n_trades,win_rate,avg_r,trades_per_day,best_ev_per_day,best_account,best_scheme,best_eval_risk,best_funded_risk,best_pass_rate,screen_time_s
a8d9dee3b26c,1.5,0.75,0.2,7,267,0.4419,0.0941,0.5,4.6338,50K,fixed_dollar,0.2,0.6,0.466,15.71
67092f9d5c32,1.5,0.75,0.2,10,442,0.4502,0.1195,0.5,6.5883,50K,fixed_dollar,0.4,0.6,0.409,15.35
cbcb15797436,1.5,0.75,0.2,14,626,0.4121,0.0278,0.5,-1.1881,50K,pct_balance,0.2,0.6,0.321,19.62
43e136a5b6f1,1.5,0.75,0.25,7,289,0.4152,0.0282,0.5,-0.8593,50K,fixed_dollar,0.2,0.6,0.326,12.62
cb3d0048fc3e,1.5,0.75,0.25,10,484,0.4421,0.1001,0.5,4.9311,50K,fixed_dollar,0.2,0.6,0.476,13.02
85c3fb9a9626,1.5,0.75,0.25,14,688,0.4128,0.03,0.5,-1.0484,50K,fixed_dollar,0.2,0.4,0.331,20.04
92207571e7c4,1.5,1.0,0.1,7,157,0.4586,0.1398,0.5,8.8107,50K,pct_balance,0.4,0.6,0.415,17.92
dadf1eb52142,1.5,1.0,0.1,10,268,0.444,0.1026,0.5,4.4355,50K,fixed_dollar,0.2,0.6,0.436,13.97
8c5445be5cd2,1.5,1.0,0.1,14,383,0.4386,0.0908,0.5,4.1981,50K,fixed_dollar,0.2,0.6,0.438,8.75
04d09bccb253,1.5,1.0,0.15,7,219,0.4521,0.1228,0.5,6.9358,50K,fixed_dollar,0.4,0.6,0.388,14.74
4b69b69f2959,1.5,1.0,0.15,10,368,0.4647,0.1547,0.5,8.9753,50K,fixed_dollar,0.2,0.6,0.538,10.65
4d0b9a0cceb1,1.5,1.0,0.15,14,520,0.4538,0.1305,0.5,6.4401,50K,pct_balance,0.2,0.4,0.503,9.94
c3210c7ac585,1.5,1.0,0.2,7,267,0.4494,0.1181,0.5,5.8539,50K,pct_balance,0.2,0.6,0.464,10.96
d90b787e9a39,1.5,1.0,0.2,10,441,0.449,0.1163,0.5,5.7842,50K,fixed_dollar,0.2,0.6,0.487,10.5
108e92ff4bcc,1.5,1.0,0.2,14,622,0.4486,0.1178,0.5,5.2475,50K,fixed_dollar,0.2,0.6,0.47,9.38
e941875d2dad,1.5,1.0,0.25,7,289,0.4187,0.0417,0.5,0.123,50K,fixed_dollar,0.2,0.6,0.36,11.0
b0461f0a4228,1.5,1.0,0.25,10,478,0.4331,0.0766,0.5,2.3915,50K,fixed_dollar,0.2,0.6,0.395,10.62
05b0de374316,1.5,1.0,0.25,14,682,0.4428,0.1034,0.5,3.7484,50K,fixed_dollar,0.2,0.4,0.436,8.26
472a032959cb,1.5,1.25,0.1,7,155,0.4581,0.1358,0.5,9.2096,50K,fixed_dollar,0.4,0.6,0.415,8.71
fd310d8267e6,1.5,1.25,0.1,10,267,0.4457,0.1029,0.5,4.5933,50K,fixed_dollar,0.2,0.6,0.44,8.76
de4b718aab71,1.5,1.25,0.1,14,378,0.4339,0.0746,0.5,1.664,50K,pct_balance,0.2,0.6,0.384,9.78
065a1ab52cd1,1.5,1.25,0.15,7,216,0.4537,0.1241,0.5,6.6748,50K,fixed_dollar,0.2,0.6,0.496,13.96
e74487b1a8c6,1.5,1.25,0.15,10,363,0.4628,0.1484,0.5,7.6171,50K,pct_balance,0.2,0.6,0.511,9.82
b2b17434f108,1.5,1.25,0.15,14,514,0.4455,0.108,0.5,3.6607,50K,fixed_dollar,0.2,0.6,0.436,8.48
c2e983fdaa97,1.5,1.25,0.2,7,264,0.4356,0.0801,0.5,2.1734,50K,fixed_dollar,0.2,0.6,0.414,8.55
396884778ad1,1.5,1.25,0.2,10,435,0.4414,0.0954,0.5,3.4267,50K,fixed_dollar,0.2,0.6,0.428,10.35
cb1b15218bcd,1.5,1.25,0.2,14,614,0.4397,0.0938,0.5,3.1335,50K,pct_balance,0.2,0.6,0.42,8.5
2540b43cf564,1.5,1.25,0.25,7,285,0.4105,0.018,0.5,-1.0615,50K,pct_balance,0.2,0.6,0.288,8.59
a1f119095193,1.5,1.25,0.25,10,472,0.4258,0.0552,0.5,1.3648,50K,fixed_dollar,0.2,0.6,0.371,7.98
c87190ff1378,1.5,1.25,0.25,14,670,0.4328,0.0757,0.5,1.4063,50K,pct_balance,0.2,0.6,0.377,9.87
4928bbee3780,1.5,1.5,0.1,7,154,0.461,0.1549,0.5,10.186,50K,fixed_dollar,0.4,0.6,0.423,8.12
37a9853f8457,1.5,1.5,0.1,10,259,0.4363,0.0848,0.5,2.8672,50K,pct_balance,0.2,0.6,0.398,8.33
a74e9ee4d51c,1.5,1.5,0.1,14,366,0.4098,0.0168,0.5,-0.5665,50K,fixed_dollar,0.2,0.6,0.313,8.15
b91d14504963,1.5,1.5,0.15,7,214,0.4579,0.1404,0.5,9.1009,50K,fixed_dollar,0.2,0.6,0.554,8.58
4e406be01f2e,1.5,1.5,0.15,10,356,0.4522,0.122,0.5,6.027,50K,fixed_dollar,0.4,0.6,0.372,8.92
ac672f0323cb,1.5,1.5,0.15,14,498,0.4317,0.0735,0.5,1.7421,50K,fixed_dollar,0.2,0.6,0.395,11.42
ed72723afad3,1.5,1.5,0.2,7,260,0.4346,0.0867,0.5,3.5616,50K,fixed_dollar,0.2,0.6,0.457,9.48
e8934d6d685d,1.5,1.5,0.2,10,426,0.4296,0.0684,0.5,0.8325,50K,fixed_dollar,0.2,0.6,0.382,13.45
6ddcbc07002e,1.5,1.5,0.2,14,592,0.4223,0.0523,0.5,0.1737,50K,fixed_dollar,0.2,0.6,0.36,12.0
1d4ca5117eb7,1.5,1.5,0.25,7,278,0.4137,0.0304,0.5,-0.784,50K,pct_balance,0.2,0.6,0.308,15.64
7a24b09afc3e,1.5,1.5,0.25,10,459,0.4118,0.0216,0.5,-1.4929,50K,fixed_dollar,0.2,0.4,0.299,12.34
c0730d81e0b1,1.5,1.5,0.25,14,647,0.4173,0.0373,0.5,-0.7203,50K,pct_balance,0.2,0.6,0.334,11.7
