account,budget,goal,allocation,alloc_300,alloc_9301400,alloc_2000,erp,p_zero,p_profit,p_goal,median_net,mean_net,avg_payouts,avg_passed,avg_target
25K,2100.0,9100.0,no_300_055,0,5,5,0.4,0.3686,0.0398,0.0,-1820.0,-1551.87639,0.5056,11.7072,4.4386
25K,2100.0,9100.0,no_300_055,0,5,5,0.7,0.3948,0.0512,0.0,-1898.2625,-1558.4878675,0.8842,14.543,6.6076
25K,2100.0,9100.0,no_300_055,0,5,5,0.8,0.3948,0.0512,0.0,-1898.2625,-1558.4878675,0.8842,14.543,6.6076
25K,2100.0,9100.0,no_300_055,0,5,5,0.9,0.3948,0.0512,0.0,-1898.2625,-1558.4878675,0.8842,14.543,6.6076
25K,2100.0,9100.0,all_9301400,0,10,0,0.3,0.3886,0.0298,0.0,-1890.0,-1610.154845,0.4896,11.3774,4.1428
50K,2940.0,12740.0,no_300_055,0,5,5,0.8,0.052,0.6214,0.0162,1135.6500000000005,1525.3875699999999,3.5324,15.8512,6.0824
50K,2940.0,12740.0,no_300_055,0,5,5,0.9,0.052,0.6214,0.0162,1135.6500000000005,1525.3875699999999,3.5324,15.8512,6.0824
50K,2940.0,12740.0,no_300_055,0,5,5,1.0,0.0634,0.5672,0.0222,659.4499999999998,1247.578555,3.6422,16.9294,6.2054
50K,2940.0,12740.0,no_300_055,0,5,5,0.7,0.0696,0.5564,0.0078,507.8000000000002,894.9344725000001,3.1902,14.5768,5.1846
50K,2940.0,12740.0,no_300_064,0,6,4,0.8,0.0698,0.5344,0.009,334.25,864.7293650000006,3.111,15.9902,6.0894
50K,2940.0,12740.0,no_300_064,0,6,4,0.9,0.0698,0.5344,0.009,334.25,864.7293650000006,3.111,15.9902,6.0894
50K,2940.0,12740.0,weighted_244,2,4,4,0.8,0.0842,0.5142,0.0064,121.92500000000018,633.1755337500008,2.9908,15.7248,5.974
50K,2940.0,12740.0,weighted_244,2,4,4,0.9,0.0842,0.5142,0.0064,121.92500000000018,633.1755337500008,2.9908,15.7248,5.974
50K,2940.0,12740.0,no_300_064,0,6,4,1.0,0.075,0.4696,0.0114,-253.0999999999999,495.6428224999995,3.2148,17.2274,6.2632
50K,2940.0,12740.0,weighted_244,2,4,4,1.0,0.0872,0.4708,0.0094,-232.53749999999945,443.28317625000045,3.0976,16.556,6.0254
50K,2940.0,12740.0,no_300_073,0,7,3,0.8,0.0934,0.4576,0.0066,-320.0,306.57311000000027,2.744,16.098,6.084
50K,2940.0,12740.0,no_300_073,0,7,3,0.9,0.0934,0.4576,0.0066,-320.0,306.57311000000027,2.744,16.098,6.084
50K,2940.0,12740.0,weighted_244,2,4,4,0.7,0.1006,0.443,0.0026,-372.7999999999997,153.83061124999995,2.7264,14.7254,5.2552
50K,2940.0,12740.0,no_300_064,0,6,4,0.7,0.0952,0.4472,0.0024,-347.9375,139.26825250000002,2.7158,14.4884,5.0228
50K,2940.0,12740.0,weighted_253,2,5,3,0.8,0.1114,0.4224,0.0024,-508.8874999999998,0.5845087499997135,2.569,15.766,5.9204
50K,2940.0,12740.0,weighted_253,2,5,3,0.9,0.1114,0.4224,0.0024,-508.8874999999998,0.5845087499997135,2.569,15.766,5.9204
50K,2940.0,12740.0,no_300_073,0,7,3,1.0,0.0958,0.4006,0.0088,-907.7749999999999,-27.21871999999985,2.9008,17.416,6.2868
50K,2940.0,12740.0,even_334,3,4,3,0.8,0.1128,0.3948,0.0022,-682.7249999999999,-143.0375825000001,2.4866,15.7372,5.851
50K,2940.0,12740.0,even_334,3,4,3,0.9,0.1128,0.3948,0.0022,-682.7249999999999,-143.0375825000001,2.4866,15.7372,5.851
50K,2940.0,12740.0,weighted_253,2,5,3,1.0,0.107,0.3834,0.0046,-929.5999999999999,-195.0887162500003,2.7098,16.7834,6.0234
50K,2940.0,12740.0,even_334,3,4,3,1.0,0.1194,0.3714,0.0032,-968.1999999999998,-271.14677749999964,2.601,16.3816,5.9078
50K,2940.0,12740.0,no_300_073,0,7,3,0.7,0.145,0.3448,0.0006,-987.3125,-512.4427249999999,2.2704,14.25,4.8444
50K,2940.0,12740.0,weighted_253,2,5,3,0.7,0.141,0.3474,0.0004,-1006.0,-541.8003412500002,2.2536,14.449,5.0396
50K,2940.0,12740.0,even_334,3,4,3,0.7,0.1446,0.3268,0.0008,-1104.0,-573.1624499999998,2.2314,14.6102,5.1418
50K,2940.0,12740.0,weighted_352,3,5,2,0.8,0.1522,0.3088,0.0012,-1308.4499999999998,-698.5415924999998,2.0876,15.5416,5.733
50K,2940.0,12740.0,weighted_352,3,5,2,0.9,0.1522,0.3088,0.0012,-1308.4499999999998,-698.5415924999998,2.0876,15.5416,5.733
50K,2940.0,12740.0,weighted_352,3,5,2,1.0,0.1434,0.297,0.001,-1615.6875,-777.1260674999999,2.2604,16.3288,5.8026
50K,2940.0,12740.0,no_300_055,0,5,5,0.5,0.2028,0.2974,0.0008,-1532.0,-786.4312799999998,1.7924,12.5266,4.1118
50K,2940.0,12740.0,no_300_055,0,5,5,0.6,0.2028,0.2974,0.0008,-1532.0,-786.4312799999998,1.7924,12.5266,4.1118
50K,2940.0,12740.0,no_300_055,0,5,5,0.1,0.0,0.0,0.0,-1078.0,-1092.8764,0.0,0.5886,0.0008
50K,2940.0,12740.0,no_300_064,0,6,4,0.5,0.2356,0.2414,0.0004,-1826.0,-1104.6773649999998,1.6154,12.651,4.1166
50K,2940.0,12740.0,no_300_064,0,6,4,0.6,0.2356,0.2414,0.0004,-1826.0,-1104.6773649999998,1.6154,12.651,4.1166
50K,2940.0,12740.0,no_300_064,0,6,4,0.1,0.0,0.0,0.0,-1078.0,-1110.9476,0.0,0.6864,0.0014
50K,2940.0,12740.0,weighted_244,2,4,4,0.1,0.0,0.0,0.0,-1078.0,-1125.04,0.0,0.7816,0.0062
50K,2940.0,12740.0,no_300_073,0,7,3,0.1,0.0,0.0,0.0,-1078.0,-1129.058,0.0,0.7708,0.0014
50K,2940.0,12740.0,weighted_253,2,5,3,0.1,0.0,0.0,0.0,-1176.0,-1143.3856,0.0,0.8778,0.0064
50K,2940.0,12740.0,even_334,3,4,3,0.1,0.0,0.0,0.0,-1176.0,-1150.226,0.0,0.9562,0.0088
50K,2940.0,12740.0,weighted_352,3,5,2,0.1,0.0,0.0,0.0,-1176.0,-1168.5716,0.0,1.0406,0.0088
50K,2940.0,12740.0,all_9301400,0,10,0,0.1,0.0,0.0,0.0,-1176.0,-1183.056,0.0,1.0462,0.0028
50K,2940.0,12740.0,weighted_352,3,5,2,0.7,0.2066,0.2262,0.0004,-1826.0,-1183.1748475000002,1.7756,14.0826,4.8706
50K,2940.0,12740.0,weighted_244,2,4,4,0.5,0.2586,0.2222,0.0004,-1898.9875000000002,-1198.2800762499999,1.5368,12.3818,4.0316
50K,2940.0,12740.0,weighted_244,2,4,4,0.6,0.2586,0.2222,0.0004,-1898.9875000000002,-1198.2800762499999,1.5368,12.3818,4.0316
50K,2940.0,12740.0,all_9301400,0,10,0,0.8,0.2186,0.2258,0.0,-1924.0,-1207.7446524999998,1.5594,15.1448,5.6298
50K,2940.0,12740.0,all_9301400,0,10,0,0.9,0.2186,0.2258,0.0,-1924.0,-1207.7446524999998,1.5594,15.1448,5.6298
50K,2940.0,12740.0,no_300_073,0,7,3,0.5,0.2774,0.191,0.0,-2022.0,-1370.37110375,1.441,12.6562,4.1446
50K,2940.0,12740.0,no_300_073,0,7,3,0.6,0.2774,0.191,0.0,-2022.0,-1370.37110375,1.441,12.6562,4.1446
50K,2940.0,12740.0,all_9301400,0,10,0,1.0,0.1778,0.1918,0.0014,-2476.0,-1440.6536475,1.8606,16.919,5.9666
50K,2940.0,12740.0,weighted_253,2,5,3,0.5,0.2896,0.177,0.0,-2031.2062499999997,-1481.211290625,1.3686,12.4402,4.054
50K,2940.0,12740.0,weighted_253,2,5,3,0.6,0.2896,0.177,0.0,-2031.2062499999997,-1481.211290625,1.3686,12.4402,4.054
50K,2940.0,12740.0,even_334,3,4,3,0.5,0.3114,0.163,0.0002,-2123.125,-1549.2747862499998,1.3082,12.3606,4.0332
50K,2940.0,12740.0,even_334,3,4,3,0.6,0.3114,0.163,0.0002,-2123.125,-1549.2747862499998,1.3082,12.3606,4.0332
50K,2940.0,12740.0,no_300_055,0,5,5,0.2,0.0,0.0174,0.0,-1568.0,-1587.45835,0.022,3.8616,0.4966
50K,2940.0,12740.0,no_300_055,0,5,5,0.4,0.0518,0.0972,0.0,-2156.0,-1605.6760325,0.4562,7.6562,1.8728
50K,2940.0,12740.0,weighted_244,2,4,4,0.2,0.0,0.0108,0.0,-1666.0,-1645.9175,0.0182,4.0862,0.5444
50K,2940.0,12740.0,no_300_064,0,6,4,0.2,0.0,0.0174,0.0,-1666.0,-1673.66105,0.0246,4.24,0.5912
50K,2940.0,12740.0,even_334,3,4,3,0.2,0.0,0.0134,0.0,-1764.0,-1712.7271349999999,0.019,4.4154,0.6464
50K,2940.0,12740.0,weighted_253,2,5,3,0.2,0.0,0.015,0.0,-1764.0,-1729.32689,0.0228,4.4558,0.6416
50K,2940.0,12740.0,no_300_064,0,6,4,0.4,0.0704,0.0778,0.0,-2254.0,-1740.7593025,0.4012,7.7738,1.9254
50K,2940.0,12740.0,no_300_073,0,7,3,0.2,0.0,0.0142,0.0,-1764.0,-1755.0493500000002,0.029,4.6364,0.6844
50K,2940.0,12740.0,no_300_055,0,5,5,0.3,0.0006,0.0378,0.0,-1862.0,-1762.26524,0.0726,5.103,1.0826
50K,2940.0,12740.0,weighted_244,2,4,4,0.3,0.0008,0.0304,0.0,-1862.0,-1785.99795,0.0606,5.0774,0.987
50K,2940.0,12740.0,weighted_352,3,5,2,0.2,0.0002,0.0128,0.0,-1862.0,-1795.2198649999998,0.0252,4.7818,0.7348
50K,2940.0,12740.0,weighted_352,3,5,2,0.5,0.352,0.1172,0.0,-2409.08125,-1796.91283875,1.1314,12.2332,4.0074
50K,2940.0,12740.0,weighted_352,3,5,2,0.6,0.352,0.1172,0.0,-2409.08125,-1796.91283875,1.1314,12.2332,4.0074
50K,2940.0,12740.0,even_334,3,4,3,0.3,0.0026,0.0264,0.0,-1960.0,-1844.482485,0.0646,5.3986,1.091
50K,2940.0,12740.0,no_300_064,0,6,4,0.3,0.0046,0.0276,0.0,-1960.0,-1894.18312,0.0816,5.7272,1.289
50K,2940.0,12740.0,no_300_073,0,7,3,0.4,0.1022,0.06,0.0,-2254.0,-1896.6396825,0.332,7.915,1.969
50K,2940.0,12740.0,weighted_244,2,4,4,0.4,0.1976,0.0752,0.0,-2450.0,-1906.6216925,0.4228,8.6208,2.2498
50K,2940.0,12740.0,weighted_253,2,5,3,0.3,0.005,0.0232,0.0,-2058.0,-1913.448925,0.071,5.6908,1.1898
50K,2940.0,12740.0,weighted_352,3,5,2,0.3,0.009,0.0202,0.0,-2058.0,-1964.2665,0.0802,6.024,1.2944
50K,2940.0,12740.0,no_300_073,0,7,3,0.3,0.0216,0.0218,0.0,-2156.0,-2001.36461,0.1006,6.3784,1.5052
50K,2940.0,12740.0,all_9301400,0,10,0,0.2,0.0064,0.0072,0.0,-2058.0,-2017.486405,0.0362,5.7838,0.9754
50K,2940.0,12740.0,weighted_253,2,5,3,0.4,0.234,0.0554,0.0,-2450.0,-2042.0394625,0.3582,8.7022,2.2866
50K,2940.0,12740.0,even_334,3,4,3,0.4,0.311,0.0596,0.0,-2548.0,-2067.14293,0.3864,9.1008,2.5142
50K,2940.0,12740.0,all_9301400,0,10,0,0.5,0.4156,0.0782,0.0,-2880.075,-2087.704175,0.8932,12.1544,4.0144
50K,2940.0,12740.0,all_9301400,0,10,0,0.6,0.4156,0.0782,0.0,-2880.075,-2087.704175,0.8932,12.1544,4.0144
50K,2940.0,12740.0,all_9301400,0,10,0,0.7,0.4156,0.0782,0.0,-2880.075,-2087.704175,0.8932,12.1544,4.0144
50K,2940.0,12740.0,weighted_352,3,5,2,0.4,0.3608,0.0396,0.0,-2646.0,-2219.62153375,0.3102,9.1878,2.5472
50K,2940.0,12740.0,all_9301400,0,10,0,0.3,0.2138,0.0134,0.0,-2548.0,-2323.20684,0.142,8.259,2.1298
50K,2940.0,12740.0,all_9301400,0,10,0,0.4,0.2138,0.0134,0.0,-2548.0,-2323.20684,0.142,8.259,2.1298
