sessions,n_sessions,erp,scale,horizon,p_zero,p_profit,p_goal,median_net,mean_net,avg_payouts,avg_passed,avg_target,eg_risk
300+930,2,0.6,True,30,0.0,0.0,0.0,-1960.0,-1641.5,0.0,4.298,0.436,1200.0
930+2000,2,0.4,False,30,0.0,0.0,0.0,-1960.0,-1682.268,0.0,4.838,0.604,1600.0
930+2000,2,0.7,True,30,0.0,0.0,0.0,-1960.0,-1682.268,0.0,4.838,0.604,1400.0
930+2000,2,0.8,True,30,0.0,0.0,0.0,-1960.0,-1682.268,0.0,4.838,0.604,1600.0
930+2000,2,0.9,True,30,0.0,0.0,0.0,-1960.0,-1682.268,0.0,4.838,0.604,1800.0
300+930+2000,3,0.3,False,30,0.0,0.0,0.0,-1960.0,-1702.26,0.0,5.084,0.72,1800.0
300+930+2000,3,0.8,True,30,0.0,0.0,0.0,-1960.0,-1702.26,0.0,5.084,0.72,1600.0
300+930+2000,3,0.9,True,30,0.0,0.0,0.0,-1960.0,-1702.26,0.0,5.084,0.72,1800.0
2000,1,0.5,True,30,0.0,0.0,0.0,-1960.0,-1866.704,0.0,3.89,0.308,1000.0
2000,1,0.5,False,30,0.0,0.0,0.0,-1960.0,-1866.704,0.0,3.89,0.308,1000.0
2000,1,0.6,True,30,0.0,0.0,0.0,-1960.0,-1866.704,0.0,3.89,0.308,1200.0
2000,1,0.6,False,30,0.0,0.0,0.0,-1960.0,-1866.704,0.0,3.89,0.308,1200.0
2000,1,0.7,True,30,0.0,0.0002,0.0002,-1960.0,-2005.008,0.002,6.266,1.26,1400.0
2000,1,0.7,False,30,0.0,0.0002,0.0002,-1960.0,-2005.008,0.002,6.266,1.26,1400.0
2000,1,0.8,True,30,0.0,0.0002,0.0002,-1960.0,-2005.008,0.002,6.266,1.26,1600.0
2000,1,0.8,False,30,0.0,0.0002,0.0002,-1960.0,-2005.008,0.002,6.266,1.26,1600.0
2000,1,0.9,True,30,0.0,0.0002,0.0002,-1960.0,-2005.008,0.002,6.266,1.26,1800.0
2000,1,0.9,False,30,0.0,0.0002,0.0002,-1960.0,-2005.008,0.002,6.266,1.26,1800.0
2000,1,1.0,True,30,0.0,0.0002,0.0002,-1960.0,-2005.008,0.002,6.266,1.26,2000.0
2000,1,1.0,False,30,0.0,0.0002,0.0002,-1960.0,-2005.008,0.002,6.266,1.26,2000.0
300,1,0.4,True,30,0.0,0.0002,0.0002,-1960.0,-2061.848,0.002,5.492,1.026,800.0
300,1,0.4,False,30,0.0,0.0002,0.0002,-1960.0,-2061.848,0.002,5.492,1.026,800.0
300+930,2,0.4,False,30,0.0,0.0006,0.0006,-1960.0,-2155.8629499999997,0.006,7.294,1.896,1600.0
300+930,2,0.7,True,30,0.0,0.0006,0.0006,-1960.0,-2155.8629499999997,0.006,7.294,1.896,1400.0
300+930,2,0.8,True,30,0.0,0.0006,0.0006,-1960.0,-2155.8629499999997,0.006,7.294,1.896,1600.0
300+930,2,0.9,True,30,0.0,0.0006,0.0006,-1960.0,-2155.8629499999997,0.006,7.294,1.896,1800.0
300+2000,2,0.4,False,30,0.0,0.0004,0.0004,-1960.0,-2201.916,0.004,7.042,1.742,1600.0
300+2000,2,0.7,True,30,0.0,0.0004,0.0004,-1960.0,-2201.916,0.004,7.042,1.742,1400.0
300+2000,2,0.8,True,30,0.0,0.0004,0.0004,-1960.0,-2201.916,0.004,7.042,1.742,1600.0
300+2000,2,0.9,True,30,0.0,0.0004,0.0004,-1960.0,-2201.916,0.004,7.042,1.742,1800.0
300+930+2000,3,0.4,False,30,0.0,0.0012,0.0012,-2940.0,-2230.0538,0.012,8.626,2.598,2400.0
300+930+2000,3,1.0,True,30,0.0,0.0012,0.0012,-2940.0,-2230.0538,0.012,8.626,2.598,2000.0
930,1,0.5,True,30,0.0,0.0002,0.0002,-1960.0,-2241.9719999999998,0.002,6.496,1.346,1000.0
930,1,0.5,False,30,0.0,0.0002,0.0002,-1960.0,-2241.9719999999998,0.002,6.496,1.346,1000.0
930,1,0.6,True,30,0.0,0.0002,0.0002,-1960.0,-2241.9719999999998,0.002,6.496,1.346,1200.0
930,1,0.6,False,30,0.0,0.0002,0.0002,-1960.0,-2241.9719999999998,0.002,6.496,1.346,1200.0
930,1,0.7,True,30,0.0,0.0002,0.0002,-1960.0,-2241.9719999999998,0.002,6.496,1.346,1400.0
930,1,0.7,False,30,0.0,0.0002,0.0002,-1960.0,-2241.9719999999998,0.002,6.496,1.346,1400.0
930+2000,2,0.8,False,30,0.0,0.0046,0.0046,-2940.0,-2271.552,0.046,10.516,4.396,3200.0
930+2000,2,0.9,False,30,0.0,0.0046,0.0046,-2940.0,-2271.552,0.046,10.516,4.396,3600.0
930+2000,2,1.0,False,30,0.0,0.0092,0.0092,-2940.0,-2279.5,0.092,10.626,4.46,4000.0
300+930+2000,3,1.0,False,30,0.0,0.0074,0.0074,-2940.0,-2283.48,0.074,10.802,4.742,6000.0
930,1,0.8,True,30,0.0,0.0006,0.0006,-2940.0,-2306.116,0.006,8.738,2.87,1600.0
930,1,0.8,False,30,0.0,0.0006,0.0006,-2940.0,-2306.116,0.006,8.738,2.87,1600.0
