combo_id,rr_ratio,sl_atr_multiplier,breakeven_r,atr_vol_filter,require_daily_momentum,n_trades,win_rate,avg_r,trades_per_day,best_ev_per_day,best_account,best_scheme,best_eval_risk,best_funded_risk,best_pass_rate,screen_time_s
c9630edbc689,0.75,1.25,1.0,1.0,True,154,0.6039,0.0522,0.5,3.2911,50K,fixed_dollar,0.6,0.6,0.378,14.23
7480508e41b2,0.75,1.5,0.0,0.0,False,364,0.6401,0.1274,0.5,18.8393,150K,fixed_dollar,0.6,0.6,0.427,14.39
496ff2d68b71,0.75,1.5,0.0,0.0,True,158,0.6076,0.0642,0.5,6.6728,50K,pct_balance,0.6,0.6,0.411,14.22
a0a65745db9b,0.75,1.5,0.0,1.0,False,342,0.6462,0.1352,0.5,19.9173,150K,pct_balance,0.6,0.6,0.418,14.32
436437c5a6c1,0.75,1.5,0.0,1.0,True,148,0.6081,0.0599,0.5,6.1557,50K,fixed_dollar,0.6,0.6,0.4,14.48
949539da9e6d,0.75,1.5,0.5,0.0,False,364,0.6401,0.1274,0.5,18.8393,150K,fixed_dollar,0.6,0.6,0.427,16.66
78e013c15e74,0.75,1.5,0.5,0.0,True,158,0.6076,0.0642,0.5,6.6728,50K,pct_balance,0.6,0.6,0.411,19.12
651ab0dbf929,0.75,1.5,0.5,1.0,False,342,0.6462,0.1352,0.5,19.9173,150K,pct_balance,0.6,0.6,0.418,17.27
6554890ca7bd,0.75,1.5,0.5,1.0,True,148,0.6081,0.0599,0.5,6.1557,50K,fixed_dollar,0.6,0.6,0.4,18.13
42712b7a3493,0.75,1.5,1.0,0.0,False,364,0.6401,0.1274,0.5,18.8393,150K,fixed_dollar,0.6,0.6,0.427,20.15
76de878321e6,0.75,1.5,1.0,0.0,True,158,0.6076,0.0642,0.5,6.6728,50K,pct_balance,0.6,0.6,0.411,17.13
fddc6790d391,0.75,1.5,1.0,1.0,False,342,0.6462,0.1352,0.5,19.9173,150K,pct_balance,0.6,0.6,0.418,20.04
3064df128508,0.75,1.5,1.0,1.0,True,148,0.6081,0.0599,0.5,6.1557,50K,fixed_dollar,0.6,0.6,0.4,18.73
50b9180956c7,1.0,0.75,0.0,0.0,False,369,0.5447,0.0851,0.5,6.005,50K,pct_balance,0.4,0.6,0.429,17.57
f97440fc3306,1.0,0.75,0.0,0.0,True,165,0.497,-0.0136,0.5,-2.2939,50K,fixed_dollar,0.2,0.6,0.231,20.25
b7574a62160f,1.0,0.75,0.0,1.0,False,347,0.5418,0.08,0.5,4.6405,50K,pct_balance,0.4,0.6,0.426,17.52
bd82e0dbd86c,1.0,0.75,0.0,1.0,True,155,0.4903,-0.0274,0.5,-2.2374,50K,pct_balance,0.2,0.6,0.242,20.29
63f11ee66441,1.0,0.75,0.5,0.0,False,369,0.5447,0.0851,0.5,6.005,50K,pct_balance,0.4,0.6,0.429,20.33
9f8a3c879c2f,1.0,0.75,0.5,0.0,True,165,0.497,-0.0136,0.5,-2.2939,50K,fixed_dollar,0.2,0.6,0.231,17.09
607e3dccb5c5,1.0,0.75,0.5,1.0,False,347,0.5418,0.08,0.5,4.6405,50K,pct_balance,0.4,0.6,0.426,19.98
edb4c3cf8e72,1.0,0.75,0.5,1.0,True,155,0.4903,-0.0274,0.5,-2.2374,50K,pct_balance,0.2,0.6,0.242,18.11
716e993eb496,1.0,0.75,1.0,0.0,False,369,0.5447,0.0851,0.5,6.005,50K,pct_balance,0.4,0.6,0.429,19.33
8c0efe0f9dfa,1.0,0.75,1.0,0.0,True,165,0.497,-0.0136,0.5,-2.2939,50K,fixed_dollar,0.2,0.6,0.231,19.78
9e09ec5cbd73,1.0,0.75,1.0,1.0,False,347,0.5418,0.08,0.5,4.6405,50K,pct_balance,0.4,0.6,0.426,16.33
d4310f567c60,1.0,0.75,1.0,1.0,True,155,0.4903,-0.0274,0.5,-2.2374,50K,pct_balance,0.2,0.6,0.242,19.68
9eef768ec0a8,1.0,1.0,0.0,0.0,False,368,0.5571,0.114,0.5,10.4556,50K,fixed_dollar,0.4,0.6,0.495,20.45
75aa1f545edb,1.0,1.0,0.0,0.0,True,165,0.5152,0.0272,0.5,0.4068,50K,fixed_dollar,0.4,0.6,0.349,18.08
70f81f959a3c,1.0,1.0,0.0,1.0,False,346,0.5549,0.1078,0.5,11.1628,50K,fixed_dollar,0.4,0.6,0.469,20.35
65ca55c0978d,1.0,1.0,0.0,1.0,True,155,0.5097,0.0116,0.5,-0.0451,50K,fixed_dollar,0.4,0.4,0.347,17.27
0cbb374063e4,1.0,1.0,0.5,0.0,False,368,0.5571,0.114,0.5,10.4556,50K,fixed_dollar,0.4,0.6,0.495,20.44
9669f400f1b7,1.0,1.0,0.5,0.0,True,165,0.5152,0.0272,0.5,0.4068,50K,fixed_dollar,0.4,0.6,0.349,20.8
93183d0bab46,1.0,1.0,0.5,1.0,False,346,0.5549,0.1078,0.5,11.1628,50K,fixed_dollar,0.4,0.6,0.469,13.86
d18e5da06b2e,1.0,1.0,0.5,1.0,True,155,0.5097,0.0116,0.5,-0.0451,50K,fixed_dollar,0.4,0.4,0.347,13.66
da2a84260892,1.0,1.0,1.0,0.0,False,368,0.5571,0.114,0.5,10.4556,50K,fixed_dollar,0.4,0.6,0.495,13.31
6b3799463d22,1.0,1.0,1.0,0.0,True,165,0.5152,0.0272,0.5,0.4068,50K,fixed_dollar,0.4,0.6,0.349,13.27
2a979ac21e55,1.0,1.0,1.0,1.0,False,346,0.5549,0.1078,0.5,11.1628,50K,fixed_dollar,0.4,0.6,0.469,13.76
37bd141ef73c,1.0,1.0,1.0,1.0,True,155,0.5097,0.0116,0.5,-0.0451,50K,fixed_dollar,0.4,0.4,0.347,12.95
d54c646fa55b,1.0,1.25,0.0,0.0,False,366,0.5738,0.1547,0.5,17.444,150K,pct_balance,0.4,0.6,0.435,13.23
3a5f79883295,1.0,1.25,0.0,0.0,True,163,0.5583,0.1184,0.5,11.5438,50K,pct_balance,0.4,0.6,0.468,13.88
280e2b6ad4fd,1.0,1.25,0.0,1.0,False,345,0.5739,0.1527,0.5,16.175,150K,pct_balance,0.4,0.6,0.443,13.6
