combo_id,strategy,params_json,n_trades,win_rate,avg_r,trades_per_day,best_ev_per_day,best_account,best_scheme,best_eval_risk,best_funded_risk,best_pass_rate,screen_time_s
80954971b146,VWAPMeanRev,"{""vwap_deviation_atr"": 2.5, ""sl_atr_multiplier"": 1.5, ""rr_ratio"": 2.0, ""use_200sma_filter"": true, ""require_confirmation"": false, ""entry_delay_min"": 0, ""max_trades_per_day"": 2}",1026,0.3216,-0.0355,0.6624,-4.0365,25K,fixed_dollar,0.2,0.6,0.186,6.38
7ae2761d192e,VWAPMeanRev,"{""vwap_deviation_atr"": 2.5, ""sl_atr_multiplier"": 1.5, ""rr_ratio"": 2.0, ""use_200sma_filter"": true, ""require_confirmation"": false, ""entry_delay_min"": 0, ""max_trades_per_day"": 3}",1026,0.3216,-0.0355,0.6624,-4.0365,25K,fixed_dollar,0.2,0.6,0.186,6.19
9118726ba800,VWAPMeanRev,"{""vwap_deviation_atr"": 2.5, ""sl_atr_multiplier"": 1.5, ""rr_ratio"": 2.0, ""use_200sma_filter"": true, ""require_confirmation"": false, ""entry_delay_min"": 30, ""max_trades_per_day"": 1}",922,0.308,-0.0765,0.5952,-4.4408,25K,pct_balance,0.2,0.4,0.17,5.2
15e864c185f2,VWAPMeanRev,"{""vwap_deviation_atr"": 2.5, ""sl_atr_multiplier"": 1.5, ""rr_ratio"": 2.0, ""use_200sma_filter"": true, ""require_confirmation"": false, ""entry_delay_min"": 30, ""max_trades_per_day"": 2}",1010,0.3168,-0.0497,0.652,-4.0718,25K,pct_balance,0.2,0.8,0.19,9.45
58e99e4d7b6b,VWAPMeanRev,"{""vwap_deviation_atr"": 2.5, ""sl_atr_multiplier"": 1.5, ""rr_ratio"": 2.0, ""use_200sma_filter"": true, ""require_confirmation"": false, ""entry_delay_min"": 30, ""max_trades_per_day"": 3}",1010,0.3168,-0.0497,0.652,-4.0718,25K,pct_balance,0.2,0.8,0.19,11.79
bc1f54d101d7,VWAPMeanRev,"{""vwap_deviation_atr"": 2.5, ""sl_atr_multiplier"": 1.5, ""rr_ratio"": 2.0, ""use_200sma_filter"": true, ""require_confirmation"": false, ""entry_delay_min"": 60, ""max_trades_per_day"": 1}",935,0.3102,-0.0702,0.6036,-4.7003,25K,fixed_dollar,0.2,0.6,0.178,7.93
4d639d2085ab,VWAPMeanRev,"{""vwap_deviation_atr"": 2.5, ""sl_atr_multiplier"": 1.5, ""rr_ratio"": 2.0, ""use_200sma_filter"": true, ""require_confirmation"": false, ""entry_delay_min"": 60, ""max_trades_per_day"": 2}",987,0.3191,-0.0427,0.6372,-4.0427,25K,pct_balance,0.2,1.0,0.178,10.41
dd232479f0ca,VWAPMeanRev,"{""vwap_deviation_atr"": 2.5, ""sl_atr_multiplier"": 1.5, ""rr_ratio"": 2.0, ""use_200sma_filter"": true, ""require_confirmation"": false, ""entry_delay_min"": 60, ""max_trades_per_day"": 3}",987,0.3191,-0.0427,0.6372,-4.0427,25K,pct_balance,0.2,1.0,0.178,10.54
3030e2791c6a,VWAPMeanRev,"{""vwap_deviation_atr"": 2.5, ""sl_atr_multiplier"": 1.5, ""rr_ratio"": 2.0, ""use_200sma_filter"": true, ""require_confirmation"": true, ""entry_delay_min"": 0, ""max_trades_per_day"": 1}",1083,0.3232,-0.0309,0.6992,-3.6592,25K,pct_balance,0.2,0.6,0.202,8.19
50111a5469e5,VWAPMeanRev,"{""vwap_deviation_atr"": 2.5, ""sl_atr_multiplier"": 1.5, ""rr_ratio"": 2.0, ""use_200sma_filter"": true, ""require_confirmation"": true, ""entry_delay_min"": 0, ""max_trades_per_day"": 2}",1170,0.3282,-0.0159,0.7553,-3.7617,25K,fixed_dollar,0.2,0.4,0.188,9.96
4a477da4cc2c,VWAPMeanRev,"{""vwap_deviation_atr"": 2.5, ""sl_atr_multiplier"": 1.5, ""rr_ratio"": 2.0, ""use_200sma_filter"": true, ""require_confirmation"": true, ""entry_delay_min"": 0, ""max_trades_per_day"": 3}",1170,0.3282,-0.0159,0.7553,-3.7617,25K,fixed_dollar,0.2,0.4,0.188,8.28
1173ae30e4b3,VWAPMeanRev,"{""vwap_deviation_atr"": 2.5, ""sl_atr_multiplier"": 1.5, ""rr_ratio"": 2.0, ""use_200sma_filter"": true, ""require_confirmation"": true, ""entry_delay_min"": 30, ""max_trades_per_day"": 1}",1124,0.331,-0.0075,0.7256,-3.2674,25K,fixed_dollar,0.2,1.0,0.2,7.12
2e5ca0f75c77,VWAPMeanRev,"{""vwap_deviation_atr"": 2.5, ""sl_atr_multiplier"": 1.5, ""rr_ratio"": 2.0, ""use_200sma_filter"": true, ""require_confirmation"": true, ""entry_delay_min"": 30, ""max_trades_per_day"": 2}",1208,0.3369,0.0103,0.7799,-2.9299,25K,fixed_dollar,0.2,1.0,0.228,9.7
8f4bf87259a0,VWAPMeanRev,"{""vwap_deviation_atr"": 2.5, ""sl_atr_multiplier"": 1.5, ""rr_ratio"": 2.0, ""use_200sma_filter"": true, ""require_confirmation"": true, ""entry_delay_min"": 30, ""max_trades_per_day"": 3}",1208,0.3369,0.0103,0.7799,-2.9299,25K,fixed_dollar,0.2,1.0,0.228,8.32
45c5f1b99fdc,VWAPMeanRev,"{""vwap_deviation_atr"": 2.5, ""sl_atr_multiplier"": 1.5, ""rr_ratio"": 2.0, ""use_200sma_filter"": true, ""require_confirmation"": true, ""entry_delay_min"": 60, ""max_trades_per_day"": 1}",1033,0.3224,-0.0332,0.6669,-3.8426,25K,pct_balance,0.2,0.8,0.202,7.6
bc643f6712ad,VWAPMeanRev,"{""vwap_deviation_atr"": 2.5, ""sl_atr_multiplier"": 1.5, ""rr_ratio"": 2.0, ""use_200sma_filter"": true, ""require_confirmation"": true, ""entry_delay_min"": 60, ""max_trades_per_day"": 2}",1108,0.3267,-0.0203,0.7153,-3.8216,25K,fixed_dollar,0.2,0.6,0.194,6.74
d37908870bd9,VWAPMeanRev,"{""vwap_deviation_atr"": 2.5, ""sl_atr_multiplier"": 1.5, ""rr_ratio"": 2.0, ""use_200sma_filter"": true, ""require_confirmation"": true, ""entry_delay_min"": 60, ""max_trades_per_day"": 3}",1108,0.3267,-0.0203,0.7153,-3.8216,25K,fixed_dollar,0.2,0.6,0.194,5.27
e122ec1eb9d0,VWAPMeanRev,"{""vwap_deviation_atr"": 3.0, ""sl_atr_multiplier"": 0.5, ""rr_ratio"": 0.75, ""use_200sma_filter"": false, ""require_confirmation"": false, ""entry_delay_min"": 0, ""max_trades_per_day"": 1}",724,0.4558,-0.1729,0.4674,-3.9996,25K,floor_aware,0.2,0.4,0.0,6.6
2cb49a261f36,VWAPMeanRev,"{""vwap_deviation_atr"": 3.0, ""sl_atr_multiplier"": 0.5, ""rr_ratio"": 0.75, ""use_200sma_filter"": false, ""require_confirmation"": false, ""entry_delay_min"": 0, ""max_trades_per_day"": 2}",657,0.4444,-0.1181,0.4241,-3.0714,25K,floor_aware,0.2,0.4,0.0,10.59
cf424771d54d,VWAPMeanRev,"{""vwap_deviation_atr"": 3.0, ""sl_atr_multiplier"": 0.5, ""rr_ratio"": 0.75, ""use_200sma_filter"": false, ""require_confirmation"": false, ""entry_delay_min"": 0, ""max_trades_per_day"": 3}",657,0.4444,-0.1181,0.4241,-3.0714,25K,floor_aware,0.2,0.4,0.0,11.41
7c34a4f32c5f,VWAPMeanRev,"{""vwap_deviation_atr"": 3.0, ""sl_atr_multiplier"": 0.5, ""rr_ratio"": 0.75, ""use_200sma_filter"": false, ""require_confirmation"": false, ""entry_delay_min"": 30, ""max_trades_per_day"": 1}",736,0.466,-0.143,0.4751,-3.7604,25K,floor_aware,0.2,0.8,0.0,7.28
eee5c9fa52db,VWAPMeanRev,"{""vwap_deviation_atr"": 3.0, ""sl_atr_multiplier"": 0.5, ""rr_ratio"": 0.75, ""use_200sma_filter"": false, ""require_confirmation"": false, ""entry_delay_min"": 30, ""max_trades_per_day"": 2}",582,0.3883,-0.1908,0.3757,-3.5266,25K,floor_aware,0.2,1.0,0.0,8.11
222949c3a74c,VWAPMeanRev,"{""vwap_deviation_atr"": 3.0, ""sl_atr_multiplier"": 0.5, ""rr_ratio"": 0.75, ""use_200sma_filter"": false, ""require_confirmation"": false, ""entry_delay_min"": 30, ""max_trades_per_day"": 3}",582,0.3883,-0.1908,0.3757,-3.5266,25K,floor_aware,0.2,1.0,0.0,9.32
17223cf41676,VWAPMeanRev,"{""vwap_deviation_atr"": 3.0, ""sl_atr_multiplier"": 0.5, ""rr_ratio"": 0.75, ""use_200sma_filter"": false, ""require_confirmation"": false, ""entry_delay_min"": 60, ""max_trades_per_day"": 1}",728,0.467,-0.1371,0.47,-3.7578,25K,floor_aware,0.2,0.8,0.0,7.86
e1404ee2b0f2,VWAPMeanRev,"{""vwap_deviation_atr"": 3.0, ""sl_atr_multiplier"": 0.5, ""rr_ratio"": 0.75, ""use_200sma_filter"": false, ""require_confirmation"": false, ""entry_delay_min"": 60, ""max_trades_per_day"": 2}",641,0.4477,-0.1057,0.4138,-3.0694,25K,floor_aware,0.2,1.0,0.0,8.87
5492c5a218ac,VWAPMeanRev,"{""vwap_deviation_atr"": 3.0, ""sl_atr_multiplier"": 0.5, ""rr_ratio"": 0.75, ""use_200sma_filter"": false, ""require_confirmation"": false, ""entry_delay_min"": 60, ""max_trades_per_day"": 3}",641,0.4477,-0.1057,0.4138,-3.0694,25K,floor_aware,0.2,1.0,0.0,8.02
737f0f250305,VWAPMeanRev,"{""vwap_deviation_atr"": 3.0, ""sl_atr_multiplier"": 0.5, ""rr_ratio"": 0.75, ""use_200sma_filter"": false, ""require_confirmation"": true, ""entry_delay_min"": 0, ""max_trades_per_day"": 1}",797,0.5006,-0.0957,0.5145,-3.1376,25K,floor_aware,0.2,1.0,0.002,6.38
c680818e196a,VWAPMeanRev,"{""vwap_deviation_atr"": 3.0, ""sl_atr_multiplier"": 0.5, ""rr_ratio"": 0.75, ""use_200sma_filter"": false, ""require_confirmation"": true, ""entry_delay_min"": 0, ""max_trades_per_day"": 2}",679,0.4801,-0.0872,0.4383,-2.9329,25K,floor_aware,0.2,1.0,0.0,5.83
41cabac8c221,VWAPMeanRev,"{""vwap_deviation_atr"": 3.0, ""sl_atr_multiplier"": 0.5, ""rr_ratio"": 0.75, ""use_200sma_filter"": false, ""require_confirmation"": true, ""entry_delay_min"": 0, ""max_trades_per_day"": 3}",679,0.4801,-0.0872,0.4383,-2.9329,25K,floor_aware,0.2,1.0,0.0,5.82
58dddd939ae4,VWAPMeanRev,"{""vwap_deviation_atr"": 3.0, ""sl_atr_multiplier"": 0.5, ""rr_ratio"": 0.75, ""use_200sma_filter"": false, ""require_confirmation"": true, ""entry_delay_min"": 30, ""max_trades_per_day"": 1}",794,0.5038,-0.0885,0.5126,-3.2551,25K,floor_aware,0.2,0.4,0.0,5.0
8ed0c931bddc,VWAPMeanRev,"{""vwap_deviation_atr"": 3.0, ""sl_atr_multiplier"": 0.5, ""rr_ratio"": 0.75, ""use_200sma_filter"": false, ""require_confirmation"": true, ""entry_delay_min"": 30, ""max_trades_per_day"": 2}",633,0.455,-0.1185,0.4087,-3.1976,25K,floor_aware,0.2,0.8,0.0,5.93
92b3bbc84a2a,VWAPMeanRev,"{""vwap_deviation_atr"": 3.0, ""sl_atr_multiplier"": 0.5, ""rr_ratio"": 0.75, ""use_200sma_filter"": false, ""require_confirmation"": true, ""entry_delay_min"": 30, ""max_trades_per_day"": 3}",633,0.455,-0.1185,0.4087,-3.1976,25K,floor_aware,0.2,0.8,0.0,5.96
32a15f1e756e,VWAPMeanRev,"{""vwap_deviation_atr"": 3.0, ""sl_atr_multiplier"": 0.5, ""rr_ratio"": 0.75, ""use_200sma_filter"": false, ""require_confirmation"": true, ""entry_delay_min"": 60, ""max_trades_per_day"": 1}",774,0.5142,-0.0681,0.4997,-3.0501,25K,fixed_dollar,0.7,0.8,0.006,5.11
adc5816117b9,VWAPMeanRev,"{""vwap_deviation_atr"": 3.0, ""sl_atr_multiplier"": 0.5, ""rr_ratio"": 0.75, ""use_200sma_filter"": false, ""require_confirmation"": true, ""entry_delay_min"": 60, ""max_trades_per_day"": 2}",619,0.4459,-0.1289,0.3996,-3.1772,25K,pct_balance,0.4,0.6,0.0,7.38
c9350a6563f2,VWAPMeanRev,"{""vwap_deviation_atr"": 3.0, ""sl_atr_multiplier"": 0.5, ""rr_ratio"": 0.75, ""use_200sma_filter"": false, ""require_confirmation"": true, ""entry_delay_min"": 60, ""max_trades_per_day"": 3}",619,0.4459,-0.1289,0.3996,-3.1772,25K,pct_balance,0.4,0.6,0.0,8.96
6c58e67188c3,VWAPMeanRev,"{""vwap_deviation_atr"": 3.0, ""sl_atr_multiplier"": 0.5, ""rr_ratio"": 0.75, ""use_200sma_filter"": true, ""require_confirmation"": false, ""entry_delay_min"": 0, ""max_trades_per_day"": 1}",630,0.4286,-0.2156,0.4067,-3.7061,25K,floor_aware,0.2,0.4,0.002,9.37
0ad23c36ece6,VWAPMeanRev,"{""vwap_deviation_atr"": 3.0, ""sl_atr_multiplier"": 0.5, ""rr_ratio"": 0.75, ""use_200sma_filter"": true, ""require_confirmation"": false, ""entry_delay_min"": 0, ""max_trades_per_day"": 2}",573,0.438,-0.1822,0.3699,-3.7103,25K,floor_aware,0.2,0.4,0.0,7.02
d5d2167ab848,VWAPMeanRev,"{""vwap_deviation_atr"": 3.0, ""sl_atr_multiplier"": 0.5, ""rr_ratio"": 0.75, ""use_200sma_filter"": true, ""require_confirmation"": false, ""entry_delay_min"": 0, ""max_trades_per_day"": 3}",573,0.438,-0.1822,0.3699,-3.7103,25K,floor_aware,0.2,0.4,0.0,6.11
900680eb6e37,VWAPMeanRev,"{""vwap_deviation_atr"": 3.0, ""sl_atr_multiplier"": 0.5, ""rr_ratio"": 0.75, ""use_200sma_filter"": true, ""require_confirmation"": false, ""entry_delay_min"": 30, ""max_trades_per_day"": 1}",586,0.4215,-0.2195,0.3783,-4.4585,25K,floor_aware,0.2,0.6,0.0,6.07
bba776852aaf,VWAPMeanRev,"{""vwap_deviation_atr"": 3.0, ""sl_atr_multiplier"": 0.5, ""rr_ratio"": 0.75, ""use_200sma_filter"": true, ""require_confirmation"": false, ""entry_delay_min"": 30, ""max_trades_per_day"": 2}",551,0.4247,-0.1967,0.3557,-3.7055,25K,floor_aware,0.2,0.8,0.0,6.21
d720ae02c3ed,VWAPMeanRev,"{""vwap_deviation_atr"": 3.0, ""sl_atr_multiplier"": 0.5, ""rr_ratio"": 0.75, ""use_200sma_filter"": true, ""require_confirmation"": false, ""entry_delay_min"": 30, ""max_trades_per_day"": 3}",551,0.4247,-0.1967,0.3557,-3.7055,25K,floor_aware,0.2,0.8,0.0,6.72
