combo_id,strategy,params_json,n_trades,win_rate,avg_r,trades_per_day,best_ev_per_day,best_account,best_scheme,best_eval_risk,best_funded_risk,best_pass_rate,screen_time_s
b6d3dfe3fb55,IBS,"{""ibs_low_thresh"": 0.15, ""ibs_high_thresh"": 0.7, ""sl_atr_mult"": 0.5, ""rr_ratio"": 1.0, ""use_200sma_filter"": false}",889,0.1091,-0.6306,0.5739,-16.0779,25K,pct_balance,0.2,0.4,0.0,9.45
2cc6b8c2fc03,IBS,"{""ibs_low_thresh"": 0.15, ""ibs_high_thresh"": 0.7, ""sl_atr_mult"": 0.5, ""rr_ratio"": 1.0, ""use_200sma_filter"": true}",284,0.0775,-0.7252,0.1833,-14.2687,25K,fixed_dollar,0.2,0.4,0.0,2.87
d3ae28429b48,IBS,"{""ibs_low_thresh"": 0.15, ""ibs_high_thresh"": 0.7, ""sl_atr_mult"": 0.5, ""rr_ratio"": 1.5, ""use_200sma_filter"": false}",889,0.0596,-0.7047,0.5739,-16.1836,25K,fixed_dollar,0.2,0.4,0.0,3.63
ff7dbb6097b9,IBS,"{""ibs_low_thresh"": 0.15, ""ibs_high_thresh"": 0.7, ""sl_atr_mult"": 0.5, ""rr_ratio"": 1.5, ""use_200sma_filter"": true}",284,0.0246,-0.8045,0.1833,-18.0768,25K,fixed_dollar,0.2,0.4,0.0,2.78
f04cc928f62e,IBS,"{""ibs_low_thresh"": 0.15, ""ibs_high_thresh"": 0.7, ""sl_atr_mult"": 0.5, ""rr_ratio"": 2.0, ""use_200sma_filter"": false}",889,0.0461,-0.7321,0.5739,-16.1937,25K,fixed_dollar,0.2,0.4,0.0,3.35
468146fb9681,IBS,"{""ibs_low_thresh"": 0.15, ""ibs_high_thresh"": 0.7, ""sl_atr_mult"": 0.5, ""rr_ratio"": 2.0, ""use_200sma_filter"": true}",284,0.0141,-0.832,0.1833,-18.2115,25K,fixed_dollar,0.2,0.4,0.0,2.7
05edcab24784,IBS,"{""ibs_low_thresh"": 0.15, ""ibs_high_thresh"": 0.7, ""sl_atr_mult"": 0.5, ""rr_ratio"": 3.0, ""use_200sma_filter"": false}",889,0.0394,-0.7553,0.5739,-20.0075,50K,fixed_dollar,0.2,0.4,0.0,3.38
e0388d5f58dd,IBS,"{""ibs_low_thresh"": 0.15, ""ibs_high_thresh"": 0.7, ""sl_atr_mult"": 0.5, ""rr_ratio"": 3.0, ""use_200sma_filter"": true}",284,0.0106,-0.8414,0.1833,-18.2531,25K,fixed_dollar,0.2,0.4,0.0,2.73
c873b2bfa4bd,IBS,"{""ibs_low_thresh"": 0.15, ""ibs_high_thresh"": 0.7, ""sl_atr_mult"": 1.0, ""rr_ratio"": 1.0, ""use_200sma_filter"": false}",889,0.0461,-0.4781,0.5739,-19.3019,50K,fixed_dollar,0.2,0.4,0.0,3.75
0cb14b84f6c9,IBS,"{""ibs_low_thresh"": 0.15, ""ibs_high_thresh"": 0.7, ""sl_atr_mult"": 1.0, ""rr_ratio"": 1.0, ""use_200sma_filter"": true}",284,0.0141,-0.5793,0.1833,-18.7249,100K,fixed_dollar,0.2,0.4,0.0,2.8
