combo_id,strategy,params_json,n_trades,win_rate,avg_r,trades_per_day,best_ev_per_day,best_account,best_scheme,best_eval_risk,best_funded_risk,best_pass_rate,screen_time_s
e2217768c15f,MACD,"{""bar_minutes"": 5, ""ma_fast"": 10, ""ma_slow"": 50, ""rr_ratio"": 1.0, ""sl_atr_multiplier"": 0.5}",3272,0.4398,-0.1037,0.6271,-4.1212,50K,floor_aware,0.2,0.2,0.096,56.01
c724c8bd06c8,MACD,"{""bar_minutes"": 5, ""ma_fast"": 10, ""ma_slow"": 50, ""rr_ratio"": 1.0, ""sl_atr_multiplier"": 1.0}",3267,0.4897,-0.0149,0.6261,-2.73,50K,fixed_dollar,0.2,0.6,0.232,50.64
5a91aea3e449,MACD,"{""bar_minutes"": 5, ""ma_fast"": 10, ""ma_slow"": 50, ""rr_ratio"": 1.0, ""sl_atr_multiplier"": 1.5}",3237,0.49,-0.0137,0.6204,-2.289,50K,pct_balance,0.2,0.6,0.242,59.27
5a91aea3e449,MACD,"{""bar_minutes"": 5, ""ma_fast"": 10, ""ma_slow"": 50, ""rr_ratio"": 1.0, ""sl_atr_multiplier"": 1.5}",3237,0.49,-0.0137,0.6204,-1.9674,50K,fixed_dollar,0.2,0.6,0.252,63.5
8f88f66d6d74,MACD,"{""bar_minutes"": 5, ""ma_fast"": 10, ""ma_slow"": 50, ""rr_ratio"": 1.5, ""sl_atr_multiplier"": 0.5}",3272,0.382,-0.041,0.6271,-4.0639,50K,pct_balance,0.2,0.6,0.182,60.07
8f88f66d6d74,MACD,"{""bar_minutes"": 5, ""ma_fast"": 10, ""ma_slow"": 50, ""rr_ratio"": 1.5, ""sl_atr_multiplier"": 0.5}",3272,0.382,-0.041,0.6271,-4.0943,50K,pct_balance,0.2,0.4,0.17,61.38
afdb5d607bb5,MACD,"{""bar_minutes"": 5, ""ma_fast"": 10, ""ma_slow"": 50, ""rr_ratio"": 1.5, ""sl_atr_multiplier"": 1.0}",3264,0.386,-0.0322,0.6255,-4.3634,50K,pct_balance,0.2,0.4,0.22,60.66
afdb5d607bb5,MACD,"{""bar_minutes"": 5, ""ma_fast"": 10, ""ma_slow"": 50, ""rr_ratio"": 1.5, ""sl_atr_multiplier"": 1.0}",3264,0.386,-0.0322,0.6255,-3.4738,50K,fixed_dollar,0.2,0.4,0.24,62.19
13f29109dce0,MACD,"{""bar_minutes"": 5, ""ma_fast"": 10, ""ma_slow"": 50, ""rr_ratio"": 1.5, ""sl_atr_multiplier"": 1.5}",3209,0.3861,-0.0328,0.615,-3.7703,50K,pct_balance,0.2,0.4,0.246,62.52
13f29109dce0,MACD,"{""bar_minutes"": 5, ""ma_fast"": 10, ""ma_slow"": 50, ""rr_ratio"": 1.5, ""sl_atr_multiplier"": 1.5}",3209,0.3861,-0.0328,0.615,-4.022,50K,fixed_dollar,0.2,0.6,0.224,63.17
6443f0b295d6,MACD,"{""bar_minutes"": 5, ""ma_fast"": 10, ""ma_slow"": 50, ""rr_ratio"": 2.0, ""sl_atr_multiplier"": 0.5}",3272,0.316,-0.0498,0.6271,-4.961,50K,floor_aware,0.2,0.2,0.154,63.42
6443f0b295d6,MACD,"{""bar_minutes"": 5, ""ma_fast"": 10, ""ma_slow"": 50, ""rr_ratio"": 2.0, ""sl_atr_multiplier"": 0.5}",3272,0.316,-0.0498,0.6271,-4.596,50K,pct_balance,0.2,0.2,0.208,63.83
057b1a6b6e54,MACD,"{""bar_minutes"": 5, ""ma_fast"": 10, ""ma_slow"": 50, ""rr_ratio"": 2.0, ""sl_atr_multiplier"": 1.0}",3250,0.3209,-0.0384,0.6228,-4.3504,50K,pct_balance,0.2,0.6,0.232,63.3
057b1a6b6e54,MACD,"{""bar_minutes"": 5, ""ma_fast"": 10, ""ma_slow"": 50, ""rr_ratio"": 2.0, ""sl_atr_multiplier"": 1.0}",3250,0.3209,-0.0384,0.6228,-4.9063,50K,fixed_dollar,0.2,0.4,0.2,63.49
825e0ce1c7ee,MACD,"{""bar_minutes"": 5, ""ma_fast"": 10, ""ma_slow"": 50, ""rr_ratio"": 2.0, ""sl_atr_multiplier"": 1.5}",3200,0.3237,-0.0344,0.6133,-5.0185,50K,fixed_dollar,0.2,0.6,0.186,64.34
825e0ce1c7ee,MACD,"{""bar_minutes"": 5, ""ma_fast"": 10, ""ma_slow"": 50, ""rr_ratio"": 2.0, ""sl_atr_multiplier"": 1.5}",3200,0.3237,-0.0344,0.6133,-4.9082,50K,pct_balance,0.2,0.6,0.226,64.2
2dbf79ded5d4,MACD,"{""bar_minutes"": 5, ""ma_fast"": 10, ""ma_slow"": 100, ""rr_ratio"": 1.0, ""sl_atr_multiplier"": 0.5}",2264,0.4474,-0.0926,0.5,-3.6878,50K,fixed_dollar,0.2,0.6,0.104,64.95
2dbf79ded5d4,MACD,"{""bar_minutes"": 5, ""ma_fast"": 10, ""ma_slow"": 100, ""rr_ratio"": 1.0, ""sl_atr_multiplier"": 0.5}",2264,0.4474,-0.0926,0.5,-3.9262,50K,pct_balance,0.2,0.6,0.1,64.76
ffa5529371cb,MACD,"{""bar_minutes"": 5, ""ma_fast"": 10, ""ma_slow"": 100, ""rr_ratio"": 1.0, ""sl_atr_multiplier"": 1.0}",2260,0.5022,0.0068,0.5,-1.3419,50K,pct_balance,0.2,0.6,0.3,63.72
ffa5529371cb,MACD,"{""bar_minutes"": 5, ""ma_fast"": 10, ""ma_slow"": 100, ""rr_ratio"": 1.0, ""sl_atr_multiplier"": 1.0}",2260,0.5022,0.0068,0.5,-1.4701,50K,fixed_dollar,0.2,0.6,0.27,64.31
5518f4fd8209,MACD,"{""bar_minutes"": 5, ""ma_fast"": 10, ""ma_slow"": 100, ""rr_ratio"": 1.0, ""sl_atr_multiplier"": 1.5}",2241,0.5167,0.0355,0.5,0.7828,50K,fixed_dollar,0.2,0.6,0.376,64.42
5518f4fd8209,MACD,"{""bar_minutes"": 5, ""ma_fast"": 10, ""ma_slow"": 100, ""rr_ratio"": 1.0, ""sl_atr_multiplier"": 1.5}",2241,0.5167,0.0355,0.5,0.1339,50K,fixed_dollar,0.4,0.6,0.368,64.97
ca0327057680,MACD,"{""bar_minutes"": 5, ""ma_fast"": 10, ""ma_slow"": 100, ""rr_ratio"": 1.5, ""sl_atr_multiplier"": 0.5}",2264,0.3887,-0.0269,0.5,-3.0989,50K,fixed_dollar,0.2,0.6,0.246,64.72
ca0327057680,MACD,"{""bar_minutes"": 5, ""ma_fast"": 10, ""ma_slow"": 100, ""rr_ratio"": 1.5, ""sl_atr_multiplier"": 0.5}",2264,0.3887,-0.0269,0.5,-2.9975,50K,fixed_dollar,0.2,0.6,0.218,63.93
2e4cae3b94d7,MACD,"{""bar_minutes"": 5, ""ma_fast"": 10, ""ma_slow"": 100, ""rr_ratio"": 1.5, ""sl_atr_multiplier"": 1.0}",2255,0.4084,0.0207,0.5,-1.8898,50K,fixed_dollar,0.2,0.4,0.298,68.89
2e4cae3b94d7,MACD,"{""bar_minutes"": 5, ""ma_fast"": 10, ""ma_slow"": 100, ""rr_ratio"": 1.5, ""sl_atr_multiplier"": 1.0}",2255,0.4084,0.0207,0.5,-1.6273,50K,fixed_dollar,0.2,0.4,0.302,64.32
4bbdb72d2b6e,MACD,"{""bar_minutes"": 5, ""ma_fast"": 10, ""ma_slow"": 100, ""rr_ratio"": 1.5, ""sl_atr_multiplier"": 1.5}",2227,0.4131,0.0305,0.5,-1.0235,50K,fixed_dollar,0.2,0.6,0.336,67.81
4bbdb72d2b6e,MACD,"{""bar_minutes"": 5, ""ma_fast"": 10, ""ma_slow"": 100, ""rr_ratio"": 1.5, ""sl_atr_multiplier"": 1.5}",2227,0.4131,0.0305,0.5,-0.5444,50K,fixed_dollar,0.2,0.6,0.326,63.29
c94454a5ae8a,MACD,"{""bar_minutes"": 5, ""ma_fast"": 10, ""ma_slow"": 100, ""rr_ratio"": 2.0, ""sl_atr_multiplier"": 0.5}",2262,0.3289,-0.0135,0.5,-3.1884,50K,pct_balance,0.2,0.6,0.244,67.98
c94454a5ae8a,MACD,"{""bar_minutes"": 5, ""ma_fast"": 10, ""ma_slow"": 100, ""rr_ratio"": 2.0, ""sl_atr_multiplier"": 0.5}",2262,0.3289,-0.0135,0.5,-3.3359,50K,pct_balance,0.2,0.4,0.236,63.16
